contract_code,delivery_month,expiry_date,n_days_with_data,price_source,covid_negative_price,M1M2_pre_baseline,M1M2_pre_vol,M1M2_entry,M1M2_expiry_week_mean,M1M2_expiry_week_end,M1M2_expiry_week_chg,M1M2_expiry_week_chg_pct,M1M2_on_expiry,M1M2_post_1d,M1M2_post_5d,M1M2_post_chg,M1M2_post_chg_pct,roll_compression,roll_reversion
CLF24,2024-01,2023-12-18,26,CL_data_TWAP,FALSE,-0.2197,0.0235,-0.2477,-0.2829,-0.3108,-0.0632,-0.255,-0.3558,-0.3845,-0.155,0.2008,0.5644,-0.0911,0.1558
CLG24,2024-02,2024-01-22,26,CL_data_TWAP,FALSE,-0.0779,0.046,-0.1257,0.1124,0.5308,0.6565,5.2221,0.2238,0.1146,0.16,-0.0638,-0.285,0.6087,-0.3708
CLH24,2024-03,2024-02-20,26,regime_labels_daily,FALSE,0.1037,0.1003,0.3549,0.6967,1.129,0.7741,2.1814,1.7204,0.5619,0.4694,-1.251,-0.7271,1.0253,-0.6596
CLJ24,2024-04,2024-03-20,26,regime_labels_daily,FALSE,0.4322,0.0825,0.5698,0.5583,0.6739,0.1041,0.1827,0.602,0.4421,0.6023,3e-04,6e-04,0.2416,-0.0715
CLK24,2024-05,2024-04-22,26,regime_labels_daily,FALSE,0.6157,0.0935,0.5209,1.1915,3.1817,2.6608,5.1081,1.2371,0.8149,0.7,-0.5371,-0.4342,2.566,-2.4817
CLM24,2024-06,2024-05-21,26,regime_labels_daily,FALSE,0.4417,0.0559,0.4863,0.4295,0.4786,-0.0077,-0.0159,0.5297,0.4085,0.3729,-0.1568,-0.2961,0.0368,-0.1057
CLN24,2024-07,2024-06-20,26,regime_labels_daily,FALSE,0.3541,0.0484,0.4044,0.7148,1.296,0.8916,2.2048,0.9823,0.7373,0.7346,-0.2477,-0.2522,0.9419,-0.5615
CLQ24,2024-08,2024-07-22,26,regime_labels_daily,FALSE,1.1747,0.1212,1.0493,1.4539,1.7467,0.6974,0.6646,1.6856,1.0782,1.1217,-0.5639,-0.3346,0.572,-0.625
CLU24,2024-09,2024-08-20,26,regime_labels_daily,FALSE,1.3961,0.1956,1.2165,0.9999,0.663,-0.5536,-0.455,0.779,0.6029,1.2122,0.4332,0.5561,-0.7332,0.5492
CLV24,2024-10,2024-09-20,26,regime_labels_daily,FALSE,0.7861,0.1226,0.963,1.052,0.9237,-0.0393,-0.0408,0.9402,0.7732,0.5153,-0.4249,-0.4519,0.1376,-0.4084
