date,M1M2,bp_regime,kf_z,kf_regime,ms_state,ms_regime,ms_prob_back,arima_z,arima_regime,n_models_back,consensus_regime
2024-02-01,0.0784415584415683,flat,0.00310958164419235,flat,3,contango,1.72761484628096e-06,0.71745813154147,flat,0,contango_flat
2024-02-02,-0.0177324973876694,flat,-0.0902862091736487,flat,3,contango,1.59785521306009e-06,0.203857168462192,flat,0,contango_flat
2024-02-03,-0.0133333333333354,flat,-0.0572523471862105,flat,3,contango,1.5843466406826e-06,0.201501742436701,flat,0,contango_flat
2024-02-05,-0.0432499999999862,flat,-0.0839884807084273,flat,3,contango,1.64082308426554e-06,0.0176996461704436,flat,0,contango_flat
2024-02-06,-0.0505555555555617,flat,-0.0947140347869796,flat,3,contango,1.66661788500443e-06,-0.0581431052896135,flat,0,contango_flat
2024-02-07,-0.0677310924369579,flat,-0.137755359245607,flat,3,contango,1.73853209144595e-06,-0.187164469040104,flat,0,contango_flat
2024-02-08,0.011809954751115,flat,-0.0695733918506551,flat,3,contango,1.7839683492111e-06,0.217127170074148,flat,0,contango_flat
2024-02-09,0.0816666666666635,flat,-0.0285672620641408,flat,3,contango,4.14564471768477e-06,0.588713077199652,flat,0,contango_flat
2024-02-10,0.0646666666666533,flat,-0.116825894526003,flat,3,contango,2.86404069681981e-05,0.452299166837132,flat,0,contango_flat
2024-02-12,0.0849019607843218,flat,-0.174656610819706,flat,3,contango,0.000239209971652626,0.544977121657624,flat,0,contango_flat
2024-02-13,0.275243589743596,flat,-0.0236175181738544,flat,3,contango,0.000885538950900987,1.62660213116054,backwardation,1,transitional
2024-02-14,0.354873949579812,flat,-0.0345454400622179,flat,1,flat,0.00129971737944533,,,0,contango_flat
2024-02-15,0.442729044834294,flat,-0.0394732749447474,flat,1,flat,0.00226309214858358,,,0,contango_flat
2024-02-16,0.796666666666681,flat,0.328753672580293,flat,1,flat,0.00623504808941973,,,0,contango_flat
2024-02-17,0.760000000000005,flat,0.178692483023979,flat,1,flat,0.0284551973190318,,,0,contango_flat
2024-02-19,1.12900000000001,flat,0.624037055255671,flat,1,flat,0.239414597894245,,,0,contango_flat
2024-02-20,1.72043478260871,flat,1.4318743569521,flat,2,backwardation,0.530946479100669,,,1,transitional
2024-02-21,0.56185714285715,flat,-0.186787117146012,flat,1,flat,0.0457823450267981,,,0,contango_flat
2024-02-22,0.706438127090294,flat,0.0424952600736333,flat,1,flat,0.00440787004135456,,,0,contango_flat
2024-02-23,0.436108165429474,flat,-0.317441399464884,flat,1,flat,0.000508682504306712,,,0,contango_flat
2024-02-24,0.409000000000006,flat,-0.344547518212031,flat,1,flat,0.000122249630948684,,,0,contango_flat
2024-02-26,0.469449367088615,flat,-0.261712149223593,flat,1,flat,7.15957820414562e-05,,,0,contango_flat
2024-02-27,0.665049019607849,flat,0.00245085139864026,flat,1,flat,6.4479292158198e-05,,,0,contango_flat
2024-02-28,0.747352941176487,flat,0.105320214161373,flat,1,flat,7.67072559906008e-05,,,0,contango_flat
2024-02-29,0.843506493506496,flat,0.232198770861288,flat,1,flat,0.000109124492931533,,,0,contango_flat
2024-03-01,0.918599137931039,flat,0.338188537097111,flat,1,flat,0.000151442028864503,,,0,contango_flat
2024-03-02,0.900000000000006,flat,0.32345641437719,flat,1,flat,0.000134843575012615,,,0,contango_flat
2024-03-04,0.611547619047613,flat,-0.0638804541013917,flat,1,flat,6.62957018514063e-05,,,0,contango_flat
2024-03-05,0.674219219219225,flat,0.0466289968368678,flat,1,flat,6.46522106655748e-05,,,0,contango_flat
2024-03-06,0.771874999999994,flat,0.208686800104698,flat,1,flat,7.64047194795113e-05,,,0,contango_flat
