product,tier,spread_target,regime,estimator,n_events,r2_cv,r2_insample,rmse_bbl,hit_rate,hit_sig,n_sig,oos_hit_rate,oos_n,oos_rmse
HO,tier2_freight,fly136,Stable-Elevated,Lasso,94,-0.0204,0,0.972,0.5319,0.4714,70,,,
HO,tier2_freight,fly136,Warm-Up,Lasso,68,-0.0375,0,1.5284,0.5,0.5208,48,,,
HO,tier2_physical,fly136,ALL_REGIMES,Lasso,269,-0.009,0.008,2.4849,0.4944,0.4921,189,0.4545,11,4.4917
HO,tier2_physical,fly136,Deep-Backwardation,Ridge,18,-0.1483,0.0087,7.4497,0.5,0.5333,15,0.4444,9,4.6697
HO,tier2_physical,fly136,Deep-Contango,Ridge,19,-0.185,6e-04,0.2161,0.5789,0.6154,13,,,
HO,tier2_physical,fly136,Easing-Backwardation,Lasso,47,-0.1246,0,1.1338,0.6383,0.5357,28,0.5,2,3.5831
HO,tier2_physical,fly136,Stable-Elevated,Lasso,94,-0.0024,0.0459,0.9494,0.6702,0.6429,70,,,
HO,tier2_physical,fly136,Warm-Up,Lasso,68,-0.0156,0,1.5284,0.5,0.5208,48,,,
HO,tier3_full,fly136,ALL_REGIMES,Lasso,269,-0.0114,0.0291,2.4583,0.513,0.5291,189,0.4545,11,4.5038
HO,tier3_full,fly136,Deep-Backwardation,Ridge,18,-0.1219,0.0027,7.4722,0.5,0.5333,15,0.4444,9,4.6839
HO,tier3_full,fly136,Deep-Contango,Ridge,19,-0.0901,0.0025,0.2159,0.5789,0.6154,13,,,
HO,tier3_full,fly136,Easing-Backwardation,Lasso,47,-0.0631,0,1.1338,0.6383,0.5357,28,0.5,2,3.5831
HO,tier3_full,fly136,Stable-Elevated,Lasso,94,-0.0278,0,0.972,0.5319,0.4714,70,,,
HO,tier3_full,fly136,Warm-Up,Lasso,68,-0.0909,0,1.5284,0.5,0.5208,48,,,
HO,tier2_freight,m1m2,ALL_REGIMES,Lasso,269,0.0045,0.0231,2.3086,0.5502,0.5397,189,0.6364,11,3.9887
HO,tier2_freight,m1m2,Deep-Backwardation,Ridge,18,-0.0917,2e-04,7.172,0.5556,0.5333,15,0.6667,9,4.3346
HO,tier2_freight,m1m2,Deep-Contango,Ridge,19,-0.1507,0.0015,0.1204,0.6316,0.6923,13,,,
HO,tier2_freight,m1m2,Easing-Backwardation,Lasso,47,-0.0696,0,0.6348,0.4894,0.5,28,0.5,2,1.7191
HO,tier2_freight,m1m2,Stable-Elevated,Lasso,94,0.0137,0.1154,0.6451,0.5851,0.5714,70,,,
HO,tier2_freight,m1m2,Warm-Up,Lasso,68,-0.038,0,1.0776,0.4853,0.5208,48,,,
HO,tier2_physical,m1m2,ALL_REGIMES,Lasso,269,-0.0087,0.0184,2.3141,0.539,0.5238,189,0.6364,11,3.9833
HO,tier2_physical,m1m2,Deep-Backwardation,Ridge,18,-0.1652,0,7.1726,0.5556,0.5333,15,0.6667,9,4.3285
HO,tier2_physical,m1m2,Deep-Contango,Ridge,19,-0.1289,0.0283,0.1188,0.6316,0.6923,13,,,
HO,tier2_physical,m1m2,Easing-Backwardation,Lasso,47,-0.124,0,0.6348,0.4894,0.5,28,0.5,2,1.7191
HO,tier2_physical,m1m2,Stable-Elevated,Lasso,94,0.0663,0.0951,0.6525,0.6064,0.6,70,,,
HO,tier2_physical,m1m2,Warm-Up,Lasso,68,-0.0623,0,1.0776,0.4853,0.5208,48,,,
HO,tier3_full,m1m2,ALL_REGIMES,Lasso,269,0.004,0.0433,2.2846,0.5613,0.5767,189,0.6364,11,3.9413
HO,tier3_full,m1m2,Deep-Backwardation,Ridge,18,-0.1537,0.0155,7.1169,0.5556,0.5333,15,0.6667,9,4.2813
HO,tier3_full,m1m2,Deep-Contango,Ridge,19,-0.2622,0.0044,0.1202,0.6316,0.6923,13,,,
HO,tier3_full,m1m2,Easing-Backwardation,Lasso,47,-0.0408,0,0.6348,0.4894,0.5,28,0.5,2,1.7191
HO,tier3_full,m1m2,Stable-Elevated,Lasso,94,-0.0329,0,0.6859,0.4574,0.4143,70,,,
HO,tier3_full,m1m2,Warm-Up,Lasso,68,-0.0513,0,1.0776,0.4853,0.5208,48,,,
HO,tier2_freight,m1m6,ALL_REGIMES,Lasso,269,0.0057,0.0214,3.1543,0.5725,0.5556,189,0.6364,11,7.9255
HO,tier2_freight,m1m6,Deep-Backwardation,Ridge,18,-0.2016,4e-04,8.4961,0.6667,0.6667,15,0.5556,9,8.6829
HO,tier2_freight,m1m6,Deep-Contango,Ridge,19,-0.0467,0.0022,0.434,0.6316,0.6154,13,,,
HO,tier2_freight,m1m6,Easing-Backwardation,Lasso,47,-0.0924,0,1.6166,0.4894,0.3929,28,1,2,2.4927
HO,tier2_freight,m1m6,Stable-Elevated,Lasso,94,-0.0513,0,1.5067,0.4681,0.4429,70,,,
HO,tier2_freight,m1m6,Warm-Up,Lasso,68,-0.0312,0,2.7264,0.6324,0.5625,48,,,
HO,tier2_physical,m1m6,ALL_REGIMES,Lasso,269,0.0045,0.0233,3.1513,0.5688,0.5608,189,0.6364,11,7.9096
HO,tier2_physical,m1m6,Deep-Backwardation,Ridge,18,-0.1461,1e-04,8.4972,0.6667,0.6667,15,0.5556,9,8.6651
HO,tier2_physical,m1m6,Deep-Contango,Ridge,19,-0.0233,5e-04,0.4343,0.6316,0.6154,13,,,
HO,tier2_physical,m1m6,Easing-Backwardation,Lasso,47,-0.0478,0,1.6166,0.4894,0.3929,28,1,2,2.4927
HO,tier2_physical,m1m6,Stable-Elevated,Lasso,94,-0.0776,0.0649,1.4569,0.5426,0.5286,70,,,
HO,tier2_physical,m1m6,Warm-Up,Lasso,68,-0.0143,0,2.7264,0.6324,0.5625,48,,,
HO,tier3_full,m1m6,ALL_REGIMES,Lasso,269,0.0164,0.0377,3.128,0.5576,0.5608,189,0.6364,11,7.8654
HO,tier3_full,m1m6,Deep-Backwardation,Ridge,18,-0.1755,0.0026,8.4868,0.6667,0.6667,15,0.5556,9,8.6505
HO,tier3_full,m1m6,Deep-Contango,Ridge,19,-0.1367,0.0075,0.4328,0.6316,0.6154,13,,,
HO,tier3_full,m1m6,Easing-Backwardation,Lasso,47,0.0218,0.2392,1.4101,0.6596,0.6071,28,1,2,1.8749
HO,tier3_full,m1m6,Stable-Elevated,Lasso,94,-0.0103,0,1.5067,0.4681,0.4429,70,,,
HO,tier3_full,m1m6,Warm-Up,Lasso,68,-0.0253,0,2.7264,0.6324,0.5625,48,,,
HO,tier2_freight,m2m3,ALL_REGIMES,Lasso,269,-0.0105,0,0.7706,0.5651,0.5238,189,0.6364,11,2.1527
HO,tier2_freight,m2m3,Deep-Backwardation,Ridge,18,-0.2572,0.0114,1.6128,0.6667,0.6667,15,0.5556,9,2.3256
HO,tier2_freight,m2m3,Deep-Contango,Ridge,19,-0.2328,0.0844,0.1376,0.7368,0.7692,13,,,
HO,tier2_freight,m2m3,Easing-Backwardation,Lasso,47,-0.0478,0,0.5246,0.5532,0.4643,28,1,2,1.0723
HO,tier2_freight,m2m3,Stable-Elevated,Lasso,94,-0.0357,0.0159,0.368,0.5638,0.5286,70,,,
HO,tier2_freight,m2m3,Warm-Up,Lasso,68,-0.0221,0,1.0232,0.5882,0.5208,48,,,
HO,tier2_physical,m2m3,ALL_REGIMES,Lasso,269,-0.0075,0,0.7706,0.5651,0.5238,189,0.6364,11,2.0973
HO,tier2_physical,m2m3,Deep-Backwardation,Ridge,18,-0.0958,6e-04,1.6215,0.6667,0.6667,15,0.5556,9,2.2629
HO,tier2_physical,m2m3,Deep-Contango,Ridge,19,-0.1797,3e-04,0.1437,0.6842,0.6923,13,,,
HO,tier2_physical,m2m3,Easing-Backwardation,Lasso,47,-0.0613,0,0.5246,0.5532,0.4643,28,1,2,1.0723
HO,tier2_physical,m2m3,Stable-Elevated,Lasso,94,-0.0141,0.0063,0.3698,0.5638,0.5286,70,,,
HO,tier2_physical,m2m3,Warm-Up,Lasso,68,-0.0192,0,1.0232,0.5882,0.5208,48,,,
HO,tier3_full,m2m3,ALL_REGIMES,Lasso,269,-0.0192,0.0086,0.7673,0.5651,0.5238,189,0.6364,11,2.0702
HO,tier3_full,m2m3,Deep-Backwardation,Ridge,18,-0.1991,0.0031,1.6195,0.6667,0.6667,15,0.5556,9,2.2633
HO,tier3_full,m2m3,Deep-Contango,Ridge,19,-0.0106,0.004,0.1435,0.7368,0.7692,13,,,
HO,tier3_full,m2m3,Easing-Backwardation,Lasso,47,0.0417,0.2584,0.4518,0.6809,0.5714,28,1,2,0.7206
HO,tier3_full,m2m3,Stable-Elevated,Lasso,94,-0.0387,0,0.371,0.5638,0.5286,70,,,
HO,tier3_full,m2m3,Warm-Up,Lasso,68,-0.0761,0,1.0232,0.5882,0.5208,48,,,
LCO,tier2_freight,fly123,ALL_REGIMES,Lasso,269,-0.0011,0.0256,0.2765,0.5651,0.5979,189,0.6667,12,0.302
LCO,tier2_freight,fly123,Backwardation-Deficit,Ridge,16,-0.2502,0.0017,0.187,0.75,0.7273,11,,,
LCO,tier2_freight,fly123,Deep-Backwardation,Lasso,70,-0.0221,0,0.2873,0.5286,0.5962,52,0.6364,11,0.3154
LCO,tier2_freight,fly123,Easing-Backwardation,Lasso,64,-0.0181,0.0345,0.2996,0.5156,0.6304,46,1,1,0.015
LCO,tier2_freight,fly123,Stable-Elevated,Lasso,49,-0.0805,0,0.3175,0.551,0.5862,29,,,
LCO,tier2_freight,fly123,Warm-Up,Ridge,33,-0.0899,0.0199,0.1756,0.6061,0.6071,28,,,
LCO,tier2_physical,fly123,ALL_REGIMES,Lasso,269,0.0114,0.0274,0.2762,0.5428,0.5661,189,0.5833,12,0.3087
LCO,tier2_physical,fly123,Backwardation-Deficit,Ridge,16,-0.1404,4e-04,0.1871,0.75,0.7273,11,,,
LCO,tier2_physical,fly123,Deep-Backwardation,Lasso,70,-0.0321,0.0028,0.2869,0.5286,0.5962,52,0.6364,11,0.3157
LCO,tier2_physical,fly123,Easing-Backwardation,Lasso,64,-0.0255,0.0302,0.3002,0.4531,0.5435,46,0,1,0.2172
LCO,tier2_physical,fly123,Stable-Elevated,Lasso,49,0.1065,0.1728,0.2888,0.551,0.5517,29,,,
LCO,tier2_physical,fly123,Warm-Up,Ridge,33,-0.021,0.0328,0.1744,0.5758,0.5357,28,,,
LCO,tier3_full,fly123,ALL_REGIMES,Lasso,269,-0.0033,0.0485,0.2732,0.5167,0.5185,189,0.6667,12,0.3066
LCO,tier3_full,fly123,Backwardation-Deficit,Ridge,16,-0.0292,0.2786,0.159,0.75,0.6364,11,,,
LCO,tier3_full,fly123,Deep-Backwardation,Lasso,70,-0.0218,0,0.2873,0.5286,0.5962,52,0.6364,11,0.3154
LCO,tier3_full,fly123,Easing-Backwardation,Lasso,64,0.0227,0.1063,0.2882,0.4844,0.4783,46,1,1,0.1837
LCO,tier3_full,fly123,Stable-Elevated,Lasso,49,-0.0776,0.0821,0.3042,0.551,0.5862,29,,,
LCO,tier3_full,fly123,Warm-Up,Ridge,33,-0.0293,0.0052,0.1769,0.5152,0.5,28,,,
LCO,tier2_freight,fly136,ALL_REGIMES,Lasso,269,0.019,0.0351,0.3304,0.539,0.5608,189,0.5833,12,1.0023
LCO,tier2_freight,fly136,Backwardation-Deficit,Ridge,16,-0.0458,0.0013,0.2544,0.5625,0.5455,11,,,
LCO,tier2_freight,fly136,Deep-Backwardation,Lasso,70,-0.0258,0,0.3666,0.5571,0.5769,52,0.6364,11,1.0281
LCO,tier2_freight,fly136,Easing-Backwardation,Lasso,64,-0.0954,0,0.3479,0.5625,0.6304,46,0,1,0.6547
LCO,tier2_freight,fly136,Stable-Elevated,Lasso,49,0.0768,0.1581,0.3508,0.5102,0.4483,29,,,
LCO,tier2_freight,fly136,Warm-Up,Ridge,33,0.0084,0.1112,0.1599,0.697,0.7143,28,,,
LCO,tier2_physical,fly136,ALL_REGIMES,Lasso,269,0.0031,0.0349,0.3304,0.5279,0.545,189,0.5833,12,1.0119
LCO,tier2_physical,fly136,Backwardation-Deficit,Ridge,16,-0.0657,4e-04,0.2545,0.5625,0.5455,11,,,
LCO,tier2_physical,fly136,Deep-Backwardation,Lasso,70,-0.076,0.0084,0.3651,0.5571,0.5769,52,0.6364,11,1.0383
LCO,tier2_physical,fly136,Easing-Backwardation,Lasso,64,-0.0314,0,0.3479,0.5625,0.6304,46,0,1,0.6547
LCO,tier2_physical,fly136,Stable-Elevated,Lasso,49,-0.0494,0.0776,0.3671,0.5306,0.4828,29,,,
LCO,tier2_physical,fly136,Warm-Up,Ridge,33,0.0631,0.137,0.1576,0.697,0.7143,28,,,
LCO,tier3_full,fly136,ALL_REGIMES,Lasso,269,0.0256,0.0797,0.3227,0.5762,0.582,189,0.4167,12,1.0187
LCO,tier3_full,fly136,Backwardation-Deficit,Ridge,16,-0.1803,0.2352,0.2226,0.625,0.5455,11,,,
LCO,tier3_full,fly136,Deep-Backwardation,Lasso,70,0.0229,0.0485,0.3576,0.5857,0.5577,52,0.4545,11,1.0429
