signal,horizon,regime,ic,n_bars,product
z_long,fwd_ret_8,Deep-Backwardation,-0.112414083922016,4908,WTCL_LCO
z_long,fwd_ret_8,Backwardation-Deficit,-0.201024781669943,155,WTCL_LCO
z_long,fwd_ret_8,Transition-Tightening,-0.119447006213414,1151,WTCL_LCO
z_long,fwd_ret_8,Transition-Loosening,-0.000239551495954558,1793,WTCL_LCO
z_long,fwd_ret_8,Contango-Surplus,-0.0607617273602967,1584,WTCL_LCO
z_long,fwd_ret_8,Deep-Contango,0.0104299740249026,3501,WTCL_LCO
z_long,fwd_ret_8,Easing-Contango,-0.323355107269382,85,WTCL_LCO
z_long,fwd_ret_8,Stable-Depressed,-0.122804321038147,263,WTCL_LCO
z_short,fwd_ret_1,ALL,-0.0431387309166661,65129,WTCL_LCO
z_short,fwd_ret_1,Warm-Up,-0.0417189607176762,27857,WTCL_LCO
z_short,fwd_ret_1,Stable-Elevated,-0.058357600680898,13293,WTCL_LCO
z_short,fwd_ret_1,Easing-Backwardation,-0.0350789029831805,10341,WTCL_LCO
z_short,fwd_ret_1,Deep-Backwardation,-0.06292061815693,4908,WTCL_LCO
z_short,fwd_ret_1,Backwardation-Deficit,-0.12060217299196,155,WTCL_LCO
z_short,fwd_ret_1,Transition-Tightening,-0.0599849395241356,1151,WTCL_LCO
z_short,fwd_ret_1,Transition-Loosening,-0.0125460539926036,1793,WTCL_LCO
z_short,fwd_ret_1,Contango-Surplus,-0.0611876953249836,1584,WTCL_LCO
z_short,fwd_ret_1,Deep-Contango,-0.0126729310188972,3501,WTCL_LCO
z_short,fwd_ret_1,Easing-Contango,-0.204193904581808,85,WTCL_LCO
z_short,fwd_ret_1,Stable-Depressed,-0.0307685305145613,263,WTCL_LCO
z_short,fwd_ret_4,ALL,-0.0757944484051619,65129,WTCL_LCO
z_short,fwd_ret_4,Warm-Up,-0.0702451014297387,27857,WTCL_LCO
z_short,fwd_ret_4,Stable-Elevated,-0.0936925029396888,13293,WTCL_LCO
z_short,fwd_ret_4,Easing-Backwardation,-0.0716464341433126,10341,WTCL_LCO
z_short,fwd_ret_4,Deep-Backwardation,-0.129957872697164,4908,WTCL_LCO
z_short,fwd_ret_4,Backwardation-Deficit,-0.0190406674626709,155,WTCL_LCO
z_short,fwd_ret_4,Transition-Tightening,-0.125485712798575,1151,WTCL_LCO
z_short,fwd_ret_4,Transition-Loosening,-0.0156196678731484,1793,WTCL_LCO
z_short,fwd_ret_4,Contango-Surplus,-0.102557140523259,1584,WTCL_LCO
z_short,fwd_ret_4,Deep-Contango,-0.038240671576627,3501,WTCL_LCO
z_short,fwd_ret_4,Easing-Contango,-0.461082203630924,85,WTCL_LCO
z_short,fwd_ret_4,Stable-Depressed,-0.0114451043978226,263,WTCL_LCO
z_short,fwd_ret_8,ALL,-0.0831195228813454,65129,WTCL_LCO
z_short,fwd_ret_8,Warm-Up,-0.0710168489721132,27857,WTCL_LCO
z_short,fwd_ret_8,Stable-Elevated,-0.113042044614688,13293,WTCL_LCO
z_short,fwd_ret_8,Easing-Backwardation,-0.0780926268809813,10341,WTCL_LCO
z_short,fwd_ret_8,Deep-Backwardation,-0.165005497731226,4908,WTCL_LCO
z_short,fwd_ret_8,Backwardation-Deficit,-0.0626244723018917,155,WTCL_LCO
z_short,fwd_ret_8,Transition-Tightening,-0.108993143383348,1151,WTCL_LCO
z_short,fwd_ret_8,Transition-Loosening,-0.0335966356668353,1793,WTCL_LCO
z_short,fwd_ret_8,Contango-Surplus,-0.112374963242416,1584,WTCL_LCO
z_short,fwd_ret_8,Deep-Contango,-0.0255076524584692,3501,WTCL_LCO
z_short,fwd_ret_8,Easing-Contango,-0.374303177174573,85,WTCL_LCO
z_short,fwd_ret_8,Stable-Depressed,0.0424121926313318,263,WTCL_LCO
vwap_dev,fwd_ret_1,ALL,,0,WTCL_LCO
vwap_dev,fwd_ret_1,Warm-Up,,0,WTCL_LCO
vwap_dev,fwd_ret_1,Stable-Elevated,,0,WTCL_LCO
vwap_dev,fwd_ret_1,Easing-Backwardation,,0,WTCL_LCO
vwap_dev,fwd_ret_1,Deep-Backwardation,,0,WTCL_LCO
vwap_dev,fwd_ret_1,Backwardation-Deficit,,0,WTCL_LCO
vwap_dev,fwd_ret_1,Transition-Tightening,,0,WTCL_LCO
vwap_dev,fwd_ret_1,Transition-Loosening,,0,WTCL_LCO
vwap_dev,fwd_ret_1,Contango-Surplus,,0,WTCL_LCO
vwap_dev,fwd_ret_1,Deep-Contango,,0,WTCL_LCO
vwap_dev,fwd_ret_1,Easing-Contango,,0,WTCL_LCO
vwap_dev,fwd_ret_1,Stable-Depressed,,0,WTCL_LCO
vwap_dev,fwd_ret_4,ALL,,0,WTCL_LCO
vwap_dev,fwd_ret_4,Warm-Up,,0,WTCL_LCO
